,Entity,Code,Year,Working hours (hours per person engaged),GDP per capita (int.-$) (constant 2011 international $),Unnamed: 5
34094,Poland,POL,1994.0,2084.6243,10580.10463,38389000.0
34095,Poland,POL,1995.0,2081.9163,11300.27108,38459000.0
34096,Poland,POL,1996.0,2082.0403,11975.5672,38510000.0
34097,Poland,POL,1997.0,2081.8833,12740.79267,38545000.0
34098,Poland,POL,1998.0,2081.8135,13323.97073,38564000.0
34099,Poland,POL,1999.0,2079.9983,13943.655190000001,38568000.0
34100,Poland,POL,2000.0,2081.6973,14732.482,38557000.0
34101,Poland,POL,2001.0,2083.6909,14920.45973,38530000.0
34102,Poland,POL,2002.0,2078.4751,15232.13015,38489000.0
34103,Poland,POL,2003.0,2084.1721,15785.42086,38442000.0
34104,Poland,POL,2004.0,2084.5327,16605.818430000003,38400000.0
34105,Poland,POL,2005.0,2079.0483,17193.52373,38369000.0
34106,Poland,POL,2006.0,2080.5796,18267.58802,38354000.0
34107,Poland,POL,2007.0,2077.6145,19563.29763,38353000.0
34108,Poland,POL,2008.0,2069.6001,20391.90022,38357000.0
34109,Poland,POL,2009.0,2054.0,20952.801669999997,38352000.0
34110,Poland,POL,2010.0,2048.8,21770.64444,38330000.0
34111,Poland,POL,2011.0,2043.6,22850.63885,38287000.0
34112,Poland,POL,2012.0,2038.4,23218.1113,38227000.0
34113,Poland,POL,2013.0,2034.7546,23555.49621,38158000.0
34114,Poland,POL,2014.0,2041.3219,24347.07366,38091000.0
34115,Poland,POL,2015.0,2049.009,25299.97435,38034000.0
34116,Poland,POL,2016.0,2050.3591,26035.8379,37989000.0
34117,Poland,POL,2017.0,2028.4952,27216.444880000003,37953000.0
34118,Poland,POL,2018.0,0.0,0.0,37922000.0
34119,Poland,POL,2019.0,0.0,0.0,37888000.0
35126,Russia,RUS,1950.0,0.0,0.0,102799000.0
